TimeStamp,x,y,Heading,Speed,Accel,DesiredSpd,Speed_Lead,Spacing,Dist2StopBar
5.579,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.596,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.611,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.627,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.643,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.661,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.675,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.691,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.707,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.724,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.739,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.755,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.771,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.787,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.803,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.819,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.837,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.851,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.867,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.883,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.901,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.915,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.931,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.949,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.963,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.979,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
5.996,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.014,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.028,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.044,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.062,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.076,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.092,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.108,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.125,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.140,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.156,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.173,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.188,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.204,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.220,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.239,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.252,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.268,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.284,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.302,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.316,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.332,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.348,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.365,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.380,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.396,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.413,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.428,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
6.445,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
